股票代码,股票简称,流通市值,最新价,最新涨跌幅,所属同花顺行业,行业概念,事件概念,交易概念
300429.SZ,强力新材,38.59,10.27,4.158,电子-电子化学品-电子化学品Ⅲ,"OLED,OLED材料,集成电路,光刻胶,富媒体",专精特新,"富时罗素,融资融券,转融券标的,富时罗素股"
603755.SH,日辰股份,11.75,34.35,4.154,食品饮料-食品加工制造-调味发酵品,调味品,大消费,
000151.SZ,中成股份,32.76,12.29,4.153,商贸零售-贸易-贸易Ⅲ,"基建工程,固废处理,新材料","一带一路,地方国资改革,央企国资改革,马歇尔计划","融资融券,转融券标的,人民币贬值受益"
300779.SZ,惠城环保,12.91,14.80,4.152,环保-环保-固废治理,"稀土永磁,固废处理",,
688607.SH,康众医疗,18.54,28.35,4.151,医药生物-医疗器械-医疗设备,,,"融资融券,转融券标的"
002482.SZ,ST广田,30.74,2.01,4.145,建筑装饰-建筑装饰-装饰园林,"绿色建筑,智能家居,装配式建筑,体育产业,建筑节能,光伏建筑一体化","新型城镇化,腾讯,恒大","富时罗素,ST板块,富时罗素股,标普道琼斯A股"
300160.SZ,秀强股份,51.35,8.55,4.141,家用电器-白色家电-其他白色家电,"太阳能,玻璃,特种玻璃,光伏玻璃,充电桩,光伏建筑一体化","地方国资改革,特斯拉","股权转让,半年报预增,创业板重组松绑"
301289.SZ,国缆检测,7.02,46.81,4.138,社会服务-其他社会服务-专业服务,"特高压,风电,核电",地方国资改革,"新股与次新股,融资融券,转融券标的,注册制次新股"
832491.BJ,奥迪威,11.09,13.34,4.137,机械设备-仪器仪表-仪器仪表Ⅲ,,,新股与次新股
300848.SZ,美瑞新材,19.91,28.70,4.136,基础化工-化学制品-聚氨酯,"可降解塑料,新材料","露营经济,华为,专精特新",送转填权
300505.SZ,川金诺,48.18,29.21,4.136,基础化工-化学制品-磷肥及磷化工,"锂电池,磷化工,正极材料",,"半年报预增,创业板重组松绑,送转填权"
300380.SZ,安硕信息,18.01,14.37,4.130,计算机-计算机应用-软件开发,"征信,互联网金融,大数据",国产软件,
300562.SZ,乐心医疗,13.7,9.34,4.125,医药生物-医疗器械-医疗设备,"无人零售,智能穿戴,互联网医疗,区块链应用,养老,智能医疗,区块链,医疗器械,无线耳机,芯片","健康中国,微信","人民币贬值受益,创业板重组松绑"
600260.SH,*ST凯乐,27.66,2.78,4.120,通信-通信设备-其他通信设备,"光纤光缆,智能交通,智能穿戴,5G,互联网医疗,安防,新材料,智能医疗,量子科技,全息手机,专网通信","军民融合,军工","参股民营银行,ST板块,富时罗素,创投,标普道琼斯A股,MSCI,富时罗素股"
000810.SZ,创维数字,211.87,18.96,4.119,家用电器-黑色家电-其他黑色家电,"超清视频,裸眼3D,智能电视,在线教育,智能音箱,增强现实,VR平台,汽车电子,F5G,VR设备,OLED显示模组,MiniLED,OLED,数字电视,智能家居,5G,家用电器,广播电视,文化传媒,元宇宙,虚拟现实,芯片设计,IPV6,柔性屏,WiFi 6,智能汽车,芯片","冬奥会,百度,宽带中国,王者荣耀,华为,数字经济","深股通,半年报预增,富时罗素,融资融券,转融券标的,标普道琼斯A股,富时罗素股"
601179.SH,中国西电,259.88,5.07,4.107,电力设备-电力设备-输变电设备,"柔性直流输电,光伏,智能电网,风电,海上风电,储能,高端装备,水利,工业母机,特高压,核电","新基建,一带一路,地方国资改革,央企国资改革","半年报预增,央企控股,融资融券,转融券标的,中字头股票"
600794.SH,保税科技,43.03,3.55,4.106,交通运输-物流-物流Ⅲ,"乙二醇,航运港口,智能物流,物流电商平台,电子商务","油价下调,统一大市场,一带一路,地方国资改革",
002506.SZ,协鑫集成,237.49,4.06,4.103,电力设备-电力设备-光伏设备,"太阳能,光伏,钒电池,储能,HJT电池,新能源,多晶硅,集成电路,钙钛矿电池","工业4.0,华为","深股通,富时罗素,融资融券,转融券标的,标普道琼斯A股,MSCI,富时罗素股"
003040.SZ,楚天龙,46.84,21.63,4.091,通信-通信设备-通信终端及配件,"移动支付,数字货币,金融科技,金融IC","冬奥会,智慧政务,电子身份证,数字经济","深股通,平安资管持股,半年报预增"
603456.SH,九洲药业,389.13,46.87,4.086,医药生物-化学制药-原料药,"CRO,生物医药,创新药","辉瑞,新冠治疗","半年报预增,富时罗素,融资融券,转融券标的,沪股通,MSCI"
603988.SH,中电电机,27.61,11.74,4.078,电力设备-电力设备-电机,"风电,新能源",,
002498.SZ,汉缆股份,144.72,4.35,4.067,电力设备-电力设备-线缆部件及其他,"融资租赁,仪电仪表,智能电网,氢能源,储能,5G,特高压,核电,燃料电池,充电桩","新基建,一带一路","深股通,富时罗素,融资融券,转融券标的,标普道琼斯A股,富时罗素股"
300588.SZ,熙菱信息,14.32,10.50,4.063,计算机-计算机设备-计算机设备Ⅲ,"智能交通,网络安全,智能建筑,安防,数据安全,大数据,机器视觉","智慧政务,专精特新,华为鲲鹏,华为,国产软件,东数西算（算力）,智慧城市","创业板重组松绑,独角兽"
300510.SZ,金冠股份,42.18,5.13,4.057,电力设备-电力设备-电气自控设备,"锂电池,换电,柔性直流输电,物联网,新能源汽车,仪电仪表,智能电网,储能,锂电隔膜,区块链,特高压,充电桩,膜材料,高压快充","新基建,地方国资改革",
301131.SZ,聚赛龙,5.71,47.76,4.052,基础化工-化工合成材料-改性塑料,"机器人材料,碳纤维,新能源汽车,可降解塑料,口罩,家用电器,智能制造,新材料",专精特新,"新股与次新股,融资融券,转融券标的,注册制次新股"
300307.SZ,慈星股份,51.55,6.68,4.050,机械设备-专用设备-纺织服装设备,"C2M,锂电池,人工智能,人机交互,光伏,工业互联网,虚拟现实,储能,HJT电池,工业机器人,边缘计算,锂电设备,电子商务,网络游戏,机器人,机器视觉,芯片","工业4.0,比亚迪,军工,华为,国产替代",
300791.SZ,仙乐健康,14.28,28.39,4.031,食品饮料-食品加工制造-其他食品,"维生素,保健品",,"深股通,养老金持股"
300671.SZ,富满微,119.38,55.01,4.028,电子-半导体及元件-集成电路设计,"MiniLED,第三代半导体,手机芯片,MCU芯片,芯片设计,5G,汽车芯片,氮化镓,WiFi 6,集成电路,无线耳机,芯片",,"深股通,融资融券,转融券标的,台湾股"
600941.SH,中国移动,290.62,60.45,4.027,通信-通信服务-通信服务Ⅲ,5G,央企国资改革,"新股与次新股,沪股通,核准制次新股"
688772.SH,珠海冠宇,27.93,25.62,4.020,电力设备-电力设备-电池,"新能源汽车,锂电池,储能",小米,"新股与次新股,融资融券,转融券标的,科创次新股"
300252.SZ,金信诺,35.17,8.55,4.015,国防军工-国防军工-军工电子,"雷达,卫星导航,PCB,磷酸铁锂,汽车电子,物联网,F5G,新能源汽车,数据中心,无线耳机,光纤,钙钛矿电池,国产航母,5G,基站射频,车联网,光纤光缆,WiFi 6,集成电路,芯片","军民融合,东数西算（算力）,华为,军工","富时罗素,富时罗素股"
002630.SZ,华西能源,27.68,2.85,4.015,电力设备-电力设备-其他电源设备,"生物质能,光伏,固废处理,储能,天然气锅炉,垃圾发电,绿色电力,无人驾驶,节能环保,新材料,超超临界发电","PPP,碳中和","参股银行,参股民营银行"
000899.SZ,赣能股份,131.91,13.52,4.000,公用事业-电力-火电,"光伏,储能,新能源,绿色电力,超超临界发电,核电","煤价下跌受益,地方国资改革","融资融券,转融券标的"
603822.SH,嘉澳环保,34.72,47.87,3.997,基础化工-化学制品-其他化学制品,生物质能,,
300713.SZ,英可瑞,13.11,16.13,3.997,电力设备-电力设备-其他电源设备,"新能源汽车,充电桩,高压快充,换电","比亚迪,特斯拉",创业板重组松绑
603696.SH,安记食品,20.23,8.60,3.990,食品饮料-食品加工制造-调味发酵品,调味品,,"融资融券,转融券标的,参股保险"
603931.SH,格林达,24.72,21.40,3.985,电子-电子化学品-电子化学品Ⅲ,"光刻胶,OLED,OLED材料,芯片",国产替代,
600869.SH,远东股份,150.69,6.79,3.982,电力设备-电力设备-线缆部件及其他,"锂电池,石墨烯,核电,风电,海上风电,锂电制造,智能电网,储能,高端装备,能源互联网,无人机,新能源,节能环保,电子商务,特高压,充电桩,云计算","宁德时代,智慧城市","融资融券,转融券标的,参股银行,独角兽"
000679.SZ,大连友谊,15.82,4.44,3.981,商贸零售-零售-百货零售,"象牙加工销售,免税店,小额贷款","新零售,腾讯",壳资源
600325.SH,华发股份,160.48,7.58,3.978,房地产-房地产开发-住宅开发,"REITs,保障房","地方国资改革,租售同权","富时罗素,融资融券,转融券标的,沪股通,标普道琼斯A股,证金持股,富时罗素股"
600666.SH,*ST瑞德,13.87,1.57,3.974,电子-光学光电子-面板,"OLED,高端装备,3D玻璃,MERS,蓝宝石",医疗改革,ST板块
002746.SZ,仙坛股份,63.16,8.90,3.972,农林牧渔-养殖业-畜禽养殖,"养鸡,饲料,预制菜",,"深股通,富时罗素,融资融券,转融券标的,富时罗素股"
002451.SZ,摩恩电气,31.05,7.07,3.971,电力设备-电力设备-线缆部件及其他,"供应链金融,新能源汽车,风电,智能电网,新能源,5G,充电桩,融资租赁",,"创投,债转股(AMC),融资融券,转融券标的,参股新三板"
600410.SH,华胜天成,60.43,5.50,3.970,计算机-计算机应用-IT服务,"移动支付,元宇宙,人工智能,无线耳机,物联网,工业互联网,芯片设计,冷链物流,IPV6,数据中心,透明工厂,网络安全,云计算,区块链,大数据,机器学习,芯片","军工,华为,国产软件,东数西算（算力）,阿里巴巴,智慧城市","创投,融资融券,转融券标的,标普道琼斯A股,参股民营银行,富时罗素股"
300643.SZ,万通智控,44.0,19.13,3.967,交运设备-汽车零部件-汽车零部件Ⅲ,"物联网,北汽新能源,胎压监测,传感器,汽车电子","外贸受益,国六标准、国六排放、国六","人民币贬值受益,创业板重组松绑"
000626.SZ,远大控股,54.93,11.02,3.962,商贸零售-贸易-贸易Ⅲ,"棕榈油,生态农业",,"深股通,人民币贬值受益"
002171.SZ,楚江新材,140.23,11.30,3.956,有色金属-工业金属-铜,"碳基材料,MiniLED,锂电池,第三代半导体,碳纤维,铜冶炼,动力电池回收,培育钻石,碳化硅,大飞机,3D打印","军民融合,循环经济,军工","深股通,分拆上市意愿,融资融券,转融券标的,标普道琼斯A股"
603002.SH,宏昌电子,37.17,6.05,3.952,电子-电子化学品-电子化学品Ⅲ,"5G,环氧树脂,3D打印,覆铜板",,"沪台通,半年报预增,台湾股"
002952.SZ,亚世光电,19.93,15.26,3.951,电子-光学光电子-面板,"柔性屏,OLED,电子纸",,"半年报预增,人民币贬值受益"
000683.SZ,远兴能源,284.76,8.69,3.947,基础化工-化学原料-纯碱,"尿素,煤化工,化肥,煤炭,涉矿",,"深股通,富时罗素,融资融券,转融券标的,标普道琼斯A股,MSCI,富时罗素股"
600281.SH,华阳新材,27.16,5.28,3.937,有色金属-小金属-其他小金属,"稀土永磁,煤化工,可降解塑料,新材料,PVC",地方国资改革,MSCI
002238.SZ,天威视讯,46.63,5.81,3.936,传媒-传媒-有线电视网络,"超清视频,虚拟现实,数据中心,5G,广播电视,VPN,广告营销,文化传媒,云计算","电信业整合,三网融合","融资融券,转融券标的,参股新三板,养老金持股"
002629.SZ,仁智股份,12.75,3.70,3.933,石油石化-油气开采及服务-油服工程,"页岩气,油气开采,天然气","油品改革,俄乌冲突","壳资源,摘帽"
688019.SH,安集科技,174.82,234.03,3.930,电子-电子化学品-电子化学品Ⅲ,"光刻胶,集成电路","中芯国际,专精特新","富时罗素,国家大基金持股,融资融券,转融券标的,沪股通"
688051.SH,佳华科技,6.43,28.03,3.930,计算机-计算机应用-IT服务,"人工智能,物联网,数据中心,区块链,大数据,传感器,云计算","东数西算（算力）,碳中和,华为,智慧城市","融资融券,转融券标的"
002806.SZ,华锋股份,19.72,14.02,3.929,有色金属-工业金属-铝,"铝电解电容,新能源汽车,储能,铝材加工,无人驾驶,有色铝,新能源整车,汽车热管理,燃料电池,高压快充",百度,
000638.SZ,*ST万方,16.3,5.29,3.929,国防军工-国防军工-航空装备,"生物疫苗,粮食,增强现实,重组蛋白,乙肝治疗,肝炎","冬奥会,地方国资改革,民营医院,军工","壳资源,ST板块"
002864.SZ,盘龙药业,18.73,33.87,3.928,医药生物-中药-中药Ⅲ,"消毒剂,肝炎,中医药,医疗器械","新冠治疗,医保目录",
002513.SZ,蓝丰生化,15.82,5.03,3.926,基础化工-化学制品-农药,"草地贪夜蛾防治,生态农业,染料",西尼罗病毒,壳资源
600423.SH,柳化股份,29.63,3.71,3.922,基础化工-化学原料-其他化学原料,"煤头尿素,脱硫脱硝,煤化工,双氧水",地方国资改革,
002175.SZ,东方网络,40.6,3.18,3.922,机械设备-仪器仪表-仪器仪表Ⅲ,"超清视频,IP,影视娱乐,动漫,虚拟现实,物业管理,仪电仪表,文化传媒",,摘帽
600661.SH,昂立教育,24.39,8.51,3.907,社会服务-教育-教育Ⅲ,"职业教育,在线教育,高校",K12教育,"融资融券,转融券标的,富时罗素股,标普道琼斯A股"
002366.SZ,*ST海核,30.59,5.06,3.901,电力设备-电力设备-其他电源设备,"节能电机,核电,核污染防治,节能环保","一带一路,军工","ST板块,标普道琼斯A股"
300995.SZ,奇德新材,6.52,22.40,3.896,基础化工-化工合成材料-改性塑料,"新能源汽车,新材料","三胎,小鹏汽车,特斯拉","融资融券,转融券标的"
002063.SZ,远光软件,97.53,6.67,3.894,计算机-计算机应用-软件开发,"人工智能,光伏,电力物联网,区块链应用,虚拟电厂,区块链,大数据,电子信息,充电桩,云计算","军民融合,碳中和,地方国资改革,华为,国产软件,大数据反恐,央企国资改革","深股通,富时罗素,创投,融资融券,转融券标的,标普道琼斯A股,富时罗素股"
002665.SZ,首航高科,118.01,4.81,3.888,电力设备-电力设备-其他电源设备,"太阳能,光伏,氢能源,储能,碳交易,绿色电力,光热,节能环保,超超临界发电,核电,融资租赁",碳中和,"深股通,融资融券,转融券标的,标普道琼斯A股"
300805.SZ,电声股份,9.92,7.75,3.887,传媒-传媒-广告营销,"网络直播,虚拟现实,数字营销","阿里巴巴,华为",
002478.SZ,常宝股份,29.62,5.09,3.878,黑色金属-钢铁-特钢,"页岩气,特钢,天然气管道,天然气,超超临界发电,核电,地下管网",西气东输,半年报预增
600579.SH,克劳斯,30.65,7.50,3.878,机械设备-专用设备-其他专用设备,"机器人,节能环保","工业4.0,地方国资改革,央企国资改革",
300162.SZ,雷曼光电,20.56,7.78,3.872,电子-光学光电子-LED,"超清视频,MiniLED,足球,裸眼3D,虚拟现实,节能照明,VR平台,安防,体育产业,MicroLED,文化传媒",,
301072.SZ,中捷精工,8.95,34.08,3.871,交运设备-汽车零部件-汽车零部件Ⅲ,新能源汽车,,"新股与次新股,融资融券,转融券标的,注册制次新股"
300617.SZ,安靠智电,53.54,51.31,3.866,电力设备-电力设备-线缆部件及其他,"特高压,风电,智能电网,虚拟电厂",专精特新,"深股通,创业板重组松绑"
300184.SZ,力源信息,56.98,5.38,3.861,电子-其他电子-其他电子Ⅲ,"物联网,电力物联网,元器件,ETC,智能手表,OLED,MCU芯片,能源互联网,5G,汽车芯片,跨境电商,集成电路,车联网,无线耳机,传感器,芯片,电子商务","华为海思股,小米,华为,特斯拉","深股通,富时罗素,富时罗素股,独角兽"
605286.SH,同力日升,20.15,41.98,3.860,机械设备-专用设备-楼宇设备,"储能,电梯",,
301226.SZ,祥明智能,6.6,38.80,3.854,电力设备-电力设备-电机,"汽车热管理,新能源汽车,数据中心,冷链物流,智能制造,机器人,充电桩","华为,比亚迪","新股与次新股,融资融券,转融券标的,注册制次新股"
000668.SZ,荣丰控股,18.59,12.67,3.853,医药生物-医药商业-医药商业Ⅲ,医疗器械,,
688766.SH,普冉股份,18.27,161.37,3.848,电子-半导体及元件-集成电路设计,"芯片,MCU芯片","小米,华为","新股与次新股,融资融券,转融券标的,科创次新股"
002115.SZ,三维通信,31.84,4.59,3.846,通信-通信服务-通信服务Ⅲ,"卫星导航,5G,节能环保,通信基站,电子信息,广告营销,文化传媒,TMT","王者荣耀,抖音,腾讯,网红经济","融资融券,转融券标的,创投,标普道琼斯A股"
002989.SZ,中天精装,15.09,16.47,3.846,建筑装饰-建筑装饰-装饰园林,精装修,,
301126.SZ,达嘉维康,8.94,17.31,3.839,医药生物-医药商业-医药商业Ⅲ,"医药电商,辅助生殖","健康中国,民营医院,辉瑞","新股与次新股,融资融券,转融券标的,注册制次新股"
688100.SH,威胜信息,43.84,26.26,3.836,通信-通信设备-通信终端及配件,"物联网,电力物联网,智能电网,能源互联网,充电桩,芯片","阿里巴巴,腾讯,智慧城市","融资融券,转融券标的"
603030.SH,全筑股份,17.29,2.98,3.833,建筑装饰-建筑装饰-装饰园林,"精装修,智能家居,建筑节能,装配式建筑,服务机器人,机器人","新型城镇化,恒大",
600996.SH,贵广网络,109.68,10.30,3.831,传媒-传媒-有线电视网络,"超清视频,物联网,智能家居,5G,文化传媒,智能医疗,广播电视,大数据,云计算,光纤","新基建,地方国资改革,华为,数字乡村","富时罗素,融资融券,转融券标的,标普道琼斯A股,富时罗素股"
603003.SH,龙宇燃油,30.59,7.60,3.825,计算机-计算机应用-IT服务,"云计算,数据中心,工业大麻,大数据","油品改革,寒武纪,阿里巴巴,油品升级","半年报预增,独角兽"
002331.SZ,皖通科技,28.06,7.33,3.824,计算机-计算机应用-IT服务,"雷达,物联网,ETC,智能交通,黄金水道,无人驾驶,集成电路,区块链,车联网,SAAS,电子信息,现代服务业","智慧城市,军工",
300478.SZ,杭州高新,13.14,10.59,3.824,基础化工-化工合成材料-改性塑料,"网络游戏,核电,区块链",,创业板重组松绑
601616.SH,广电电气,33.12,3.54,3.812,电力设备-电力设备-输变电设备,"元器件,充电桩,IGBT,智能电网",,
000543.SZ,皖能电力,105.18,4.64,3.803,公用事业-电力-火电,"光伏,抽水蓄能,碳交易,天然气,超超临界发电,核电","西电东送,地方国资改革,电力改革","深股通,半年报预增,富时罗素,参股银行,融资融券,转融券标的,参股券商,标普道琼斯A股,富时罗素股"
002681.SZ,奋达科技,49.0,4.37,3.801,电子-消费电子-消费电子零部件及组装,"无线充电,智能手表,虚拟现实,智能穿戴,智能音箱,互联网医疗,消费电子,VR设备,无线耳机,机器人,传感器","苹果,小米,华为","富时罗素股,人民币贬值受益"
002622.SZ,融钰集团,29.82,3.55,3.801,医药生物-医疗服务-其他医疗服务,"智能电网,牙科医疗,征信,大数据","健康中国,民营医院,国产软件",参股银行
300419.SZ,浩丰科技,21.11,5.74,3.798,计算机-计算机应用-IT服务,"金融科技,数据中心,网络安全,大数据,量子科技,VPN,云计算","快手,军工,华为,国产软件,抖音",创业板重组松绑
002756.SZ,永兴材料,398.04,144.60,3.797,有色金属-小金属-能源金属,"锂电池,特钢,锂电原料,互联网金融,核电","宁德时代,军工","深股通,半年报预增,养老金持股,融资融券,转融券标的"
002811.SZ,郑中设计,19.63,7.94,3.791,建筑装饰-建筑装饰-装饰园林,装配式建筑,,
300727.SZ,润禾材料,37.93,33.68,3.790,基础化工-化学制品-有机硅,"有机硅,硅能源",,创业板重组松绑
002893.SZ,华通热力,18.24,9.04,3.789,公用事业-电力-热力,"生物医药,节能环保","碳中和,地方国资改革,流感",
002577.SZ,雷柏科技,34.88,12.33,3.788,计算机-计算机设备-计算机设备Ⅲ,"手势识别,无线充电,体感交互,电子竞技,消费电子,无线耳机,机器人","百度,王者荣耀","融资融券,转融券标的"
300493.SZ,润欣科技,34.2,7.13,3.785,电子-其他电子-其他电子Ⅲ,"移动支付,物联网,金融IC,智能穿戴,5G,边缘计算,集成电路,智能医疗,无线耳机,传感器,芯片",大疆创新,"融资融券,转融券标的,台湾股"
300334.SZ,津膜科技,22.41,7.42,3.776,基础化工-化工合成材料-膜材料,"再生水,净水,海水淡化,污水处理,垃圾分类,工业节水,节能环保,分离膜,膜材料","PPP,美丽中国,央企国资改革","股权转让,创业板重组松绑"
301160.SZ,翔楼新材,9.49,53.60,3.775,黑色金属-钢铁-特钢,"新能源汽车,风电,特钢",,"新股与次新股,融资融券,转融券标的,注册制次新股"
603618.SH,杭电股份,45.61,6.60,3.774,电力设备-电力设备-线缆部件及其他,"石墨烯,锂电池,5G,特高压,光纤",军民融合,"融资融券,转融券标的,富时罗素股,股权转让"
600596.SH,新安股份,198.44,19.28,3.768,基础化工-化学制品-有机硅,"磷化工,光伏,黄金,硅能源,无人机,涉矿,负极材料,锂电池,固废处理,农业种植,登革热,三氯化磷,新材料,互联网金融,草甘膦,蜱虫,草地贪夜蛾防治,转基因,有机硅,小额贷款","工业4.0,华为,金改,特斯拉","半年报预增,富时罗素,融资融券,转融券标的,沪股通,标普道琼斯A股,富时罗素股"
603320.SH,迪贝电气,16.51,12.70,3.758,电力设备-电力设备-电机,"家用电器,地热能",,
688588.SH,凌志软件,28.84,11.36,3.744,计算机-计算机应用-软件开发,"金融科技,云计算,互联网金融,大数据",,"融资融券,转融券标的"
605186.SH,健麾信息,21.26,31.91,3.739,机械设备-自动化设备-其他自动化设备,"机器人,中医药","新零售,大消费",
300648.SZ,星云股份,43.88,47.55,3.730,电力设备-电力设备-电池,"锂电池,新能源汽车,储能,锂电设备,充电桩,燃料电池,高压快充","蔚来汽车,比亚迪,宁德时代,专精特新,华为汽车,华为",创业板重组松绑
300468.SZ,四方精创,50.77,10.30,3.726,计算机-计算机应用-软件开发,"金融科技,村镇银行,跨境支付（CIPS）,NFT,区块链应用,区块链,数字货币,云计算","华为,国产软件","参股银行,送转填权"
300467.SZ,迅游科技,17.28,11.42,3.724,传媒-传媒-游戏,"网络游戏,广告营销,文化传媒,手机游戏","facebook,王者荣耀,地方国资改革,腾讯,华为","股权转让,创投,富时罗素股"
688191.SH,智洋创新,12.59,18.46,3.708,电力设备-电力设备-电气自控设备,智能电网,"华为,专精特新","融资融券,转融券标的,养老金持股"
002114.SZ,罗平锌电,23.58,7.29,3.698,有色金属-工业金属-铅锌,"磷化工,铟,小金属,锌电池,稀有金属,金属锌","地方国资改革,乡村振兴",
603707.SH,健友股份,312.59,19.36,3.696,医药生物-化学制药-化学制剂,肝素,,"富时罗素,融资融券,转融券标的,沪股通,标普道琼斯A股,MSCI,富时罗素股"
000068.SZ,华控赛格,36.74,3.65,3.693,环保-环保-综合环境治理,"负极材料,碳基材料,石墨烯,锂电池,海绵城市",PPP,创投
300264.SZ,佳创视讯,20.03,5.62,3.690,计算机-计算机应用-IT服务,"超清视频,元宇宙,虚拟数字人,在线教育,虚拟现实,数字电视,广播电视,文化传媒,富媒体","国产操作系统,华为,三网融合",创业板重组松绑
002205.SZ,国统股份,18.29,9.84,3.688,建筑材料-建筑材料-管材,"抗旱,风电,装配式建筑,节水灌溉,水利,地下管网","南水北调,新型城镇化,一带一路,地方国资改革,PPP,中铁系,央企国资改革",
688135.SH,利扬芯片,26.07,37.40,3.687,电子-半导体及元件-集成电路封测,"卫星导航,集成电路,芯片",专精特新,"融资融券,转融券标的"
603188.SH,亚邦股份,24.06,4.22,3.686,基础化工-化学制品-纺织化学用品,染料,,
000017.SZ,深中华A,12.79,4.22,3.686,轻工制造-家用轻工-饰品,"锂电池,两轮车,黄金",新零售,
300563.SZ,神宇股份,15.9,12.95,3.683,通信-通信设备-通信线缆及配套,"航空航天,卫星导航,EDR,新能源汽车,5G,消费电子,WiFi 6,医疗器械,汽车电子,芯片","军工,苹果,华为,国产替代,数字经济,新基建,航天军工",创业板重组松绑
000981.SZ,*ST银亿,94.3,1.69,3.681,交运设备-汽车零部件-汽车零部件Ⅲ,"物联网,新能源汽车,高端装备,跨境电商,汽车制造",蔚来汽车,ST板块
300462.SZ,华铭智能,13.85,10.15,3.677,计算机-计算机设备-计算机设备Ⅲ,"移动支付,轨道交通,智能终端,ETC,二维码识别,胎压监测,数字货币",新基建,独角兽
603890.SH,春秋电子,46.78,10.73,3.672,电子-消费电子-消费电子零部件及组装,"新能源汽车,消费电子,电子信息","富士康,特斯拉","融资融券,转融券标的,人民币贬值受益"
688681.SH,科汇股份,10.41,16.10,3.670,电力设备-电力设备-电气自控设备,"柔性直流输电,智能电网,储能,虚拟电厂,特高压,充电桩",专精特新,"融资融券,转融券标的"
603987.SH,康德莱,74.5,16.95,3.670,医药生物-医疗器械-医疗耗材,医疗器械,专精特新,分拆上市意愿
603332.SH,苏州龙杰,21.18,12.72,3.668,基础化工-化工合成材料-涤纶,涤纶,军工,"富时罗素,富时罗素股,标普道琼斯A股"
601789.SH,宁波建工,52.28,4.81,3.664,建筑装饰-建筑装饰-房屋建设,"轨道交通,园林开发,数据中心,装配式建筑,边缘计算,基建工程,水利,区块链,大数据,量子科技,VPN,云计算","PPP,一带一路,地方国资改革,新型城镇化","富时罗素,融资融券,转融券标的,参股券商,标普道琼斯A股"
300013.SZ,新宁物流,25.24,5.66,3.663,交通运输-物流-物流Ⅲ,"卫星导航,物联网,冷链物流,跨境电商,智能物流,车联网,快递","统一大市场,京东,双十一",创业板重组松绑
000423.SZ,东阿阿胶,240.61,36.79,3.663,医药生物-中药-中药Ⅲ,"中医药,超级品牌,预制菜,保健品,电子商务,奢侈品","医保目录,医疗改革,大消费,地方国资改革,央企国资改革","深股通,半年报预增,富时罗素,融资融券,转融券标的,标普道琼斯A股,MSCI,富时罗素股,老字号"
300859.SZ,西域旅游,27.38,28.61,3.659,社会服务-景点及旅游-自然景点,"旅游,在线旅游",地方国资改革,摘帽
688016.SH,心脉医疗,57.16,147.98,3.657,医药生物-医疗器械-医疗耗材,医疗器械,,"融资融券,转融券标的,沪股通"
600510.SH,黑牡丹,74.97,7.37,3.657,房地产-房地产开发-住宅开发,"智能交通,OLED,装配式建筑,数据中心,保障房,超级电容","蔚来汽车,金改,PPP,新型城镇化,地方国资改革,新基建","富时罗素,创投,融资融券,转融券标的,沪股通,证金持股,参股保险"
300374.SZ,中铁装配,19.87,10.50,3.653,建筑材料-建筑材料-其他建材,"建筑节能,绿色建筑,装配式建筑","乡村振兴,一带一路,地方国资改革,方舱医院,中铁系,央企国资改革","中字头股票,创业板重组松绑"
603538.SH,美诺华,56.85,27.00,3.647,医药生物-化学制药-原料药,"肝炎,辅助生殖","新冠检测,新冠治疗","参股基金,半年报预增,人民币贬值受益"
002646.SZ,天佑德酒,80.61,17.06,3.645,食品饮料-饮料制造-白酒,"白酒,工业用地,粮食",,"深股通,融资融券,转融券标的,老字号"
600187.SH,国中水务,42.34,2.56,3.644,环保-环保-水务及水治理,"再生水,养老,节能环保,污水处理","商汤科技,PPP,水价改革,美丽中国","融资融券,转融券标的,独角兽"
688621.SH,阳光诺和,49.73,100.01,3.637,医药生物-医疗服务-医疗研发外包,"仿制药,CRO,创新药",,"融资融券,转融券标的"
600149.SH,廊坊发展,21.67,5.70,3.636,公用事业-电力-热力,,"地方国资改革,恒大",股权转让
600198.SH,大唐电信,57.93,6.58,3.622,通信-通信设备-通信终端及配件,"卫星导航,手机游戏,移动支付,物联网,元器件,智能终端,微电子,智能穿戴,5G,5G主设备,车联网,换芯,金融IC,NFC,芯片设计,IPV6,电子书,集成电路,芯片,云计算","三网融合,农业信息化,地方国资改革,银联,央企国资改革,智慧城市","摘帽,新兴板,创投,央企控股"
603155.SH,新亚强,17.93,31.79,3.618,基础化工-化学制品-有机硅,"有机硅,新材料",,
600800.SH,渤海化学,31.85,4.01,3.618,石油石化-石油加工贸易-石油加工,"金融IC,工业大麻,丙烯,芯片,电子信息,换芯,丙烯酸",地方国资改革,"融资融券,转融券标的"
300882.SZ,万胜智能,9.91,17.20,3.615,电力设备-电力设备-电气自控设备,"智能电网,虚拟电厂,智能表,电力物联网",,"融资融券,转融券标的,参股银行"
300637.SZ,扬帆新材,19.51,8.33,3.607,基础化工-化学制品-其他化学制品,"光刻胶,新材料",,
300698.SZ,万马科技,16.85,16.95,3.606,通信-通信设备-通信网络设备及器件,"物联网,数据中心,5G,互联网医疗,智能医疗,车联网",智慧城市,
